# mid ch module geom
41  1  0  M1L
41  2  0  M1L
41  3  1  M2L
41  4  1  M2L
41  5  2  M3L
41  6  2  M3L
41  7  3  M4L
41  8  3  M4L
41  9  4  M5L
41 10  4  M5L
41 11  5  M6L
41 12  5  M6L
41 13  6  M7L
41 14  6  M7L
41 15  7  M8L
41 16  7  M8L
41 17  8  M9L
41 18  8  M9L
41 19  9  M10L
41 20  9  M10L
41 21 10  M11L
41 22 10  M11L
41 23 11  M12L
41 24 11  M12L
41 25 12  M13L
41 26 12  M13L
41 27 13  M14L
41 28 13  M14L
41 29 14  M15L
41 30 14  M15L
41 31 15  M16L
41 32 15  M16L
42  1  0  M1R
42  2  0  M1R
42  3  1  M2R
42  4  1  M2R
42  5  2  M3R
42  6  2  M3R
42  7  3  M4R
42  8  3  M4R
42  9  4  M5R
42 10  4  M5R
42 11  5  M6R
42 12  5  M6R
42 13  6  M7R
42 14  6  M7R
42 15  7  M8R
42 16  7  M8R
42 17  8  M9R
42 18  8  M9R
42 19  9  M10R
42 20  9  M10R
42 21 10  M11R
42 22 10  M11R
42 23 11  M12R
42 24 11  M12R
42 25 12  M13R
42 26 12  M13R
42 27 13  M14R
42 28 13  M14R
42 29 14  M15R
42 30 14  M15R
42 31 15  M16R
42 32 15  M16R
